region,zone,woreda,year,mcv1_vaccinated,mcv2_vaccinated,denominator,mcv1_coverage,mcv2_coverage,mcv1_coverage_raw,mcv2_coverage_raw,mcv1_coverage_capped,mcv2_coverage_capped,dropout_raw,dropout_capped,flag_mcv1_gt_100,flag_mcv2_gt_100,flag_mcv2_gt_mcv1,flag_missing_denominator,geo_id,mcv1_coverage_model,mcv2_coverage_model,dropout_model,vaccination_quality_flag,vaccination_anomaly_score
Addis Ababa,region 14,arada,2020,5477,4766,6534,0.838230793,0.729415366,0.838230793,0.729415366,0.838230793,0.729415366,0.12981559244626797,0.12981559244626797,FALSE,FALSE,FALSE,FALSE,Addis Ababa__region 14__arada,0.838230793,0.729415366,0.12981559244626797,ok,0
Addis Ababa,region 14,arada,2021,6445,5311,6680,0.964820359,0.79505988,0.964820359,0.79505988,0.964820359,0.79505988,0.17595034911571544,0.17595034911571544,FALSE,FALSE,FALSE,FALSE,Addis Ababa__region 14__arada,0.964820359,0.79505988,0.17595034911571544,ok,0
Addis Ababa,region 14,arada,2022,4329.415546,5793,6534,0.662598033,0.886593205,0.662598033,0.886593205,0.662598033,0.886593205,-0.33805589640197453,-0.33805589640197453,FALSE,FALSE,TRUE,FALSE,Addis Ababa__region 14__arada,0.662598033,0.662598033,0,mcv2_above_mcv1_adjusted,1
Addis Ababa,region 14,arada,2023,4472.678788,4319.932503,6680,0.669562693,0.646696482,0.669562693,0.646696482,0.669562693,0.646696482,0.0341509633661744,0.0341509633661744,FALSE,FALSE,FALSE,FALSE,Addis Ababa__region 14__arada,0.669562693,0.646696482,0.0341509633661744,ok,0
Addis Ababa,region 14,arada,2024,6511,6043,7114,0.91523756,0.849451785,0.91523756,0.849451785,0.91523756,0.849451785,0.07187836019317219,0.07187836019317219,FALSE,FALSE,FALSE,FALSE,Addis Ababa__region 14__arada,0.91523756,0.849451785,0.07187836019317219,ok,0
Addis Ababa,region 14,bole,2020,8720,7359,9509,0.917025975,0.773898412,0.917025975,0.773898412,0.917025975,0.773898412,0.15607798132435677,0.15607798132435677,FALSE,FALSE,FALSE,FALSE,Addis Ababa__region 14__bole,0.917025975,0.773898412,0.15607798132435677,ok,0
Addis Ababa,region 14,bole,2021,5843.068042,8555,9296,0.628557233,0.920288296,0.628557233,0.920288296,0.628557233,0.920288296,-0.4641280820325871,-0.4641280820325871,FALSE,FALSE,TRUE,FALSE,Addis Ababa__region 14__bole,0.628557233,0.628557233,0,mcv2_above_mcv1_adjusted,1
Addis Ababa,region 14,bole,2022,5782.445826,5610.373356,9509,0.608102411,0.590006663,0.608102411,0.590006663,0.608102411,0.590006663,0.029757731054284395,0.029757731054284395,FALSE,FALSE,FALSE,FALSE,Addis Ababa__region 14__bole,0.608102411,0.590006663,0.029757731054284395,ok,0
Addis Ababa,region 14,bole,2023,5303.076246,5139.259602,9509,0.557690214,0.540462678,0.557690214,0.540462678,0.557690214,0.540462678,0.030890870177614292,0.030890870177614292,FALSE,FALSE,FALSE,FALSE,Addis Ababa__region 14__bole,0.557690214,0.540462678,0.030890870177614292,ok,0
Addis Ababa,region 14,bole,2024,5306.42265,5128.601147,9509,0.558042134,0.539341797,0.558042134,0.539341797,0.558042134,0.539341797,0.03351061839355676,0.03351061839355676,FALSE,FALSE,FALSE,FALSE,Addis Ababa__region 14__bole,0.558042134,0.539341797,0.03351061839355676,ok,0
Addis Ababa,region 14,gulele,2020,7833,6661,8236,0.95106848,0.808766391,0.95106848,0.808766391,0.95106848,0.808766391,0.14962338884367188,0.14962338884367188,FALSE,FALSE,FALSE,FALSE,Addis Ababa__region 14__gulele,0.95106848,0.808766391,0.14962338884367188,ok,0
Addis Ababa,region 14,gulele,2021,8016,7501,8420,0.952019002,0.890855107,0.952019002,0.890855107,0.952019002,0.890855107,0.06424650649987758,0.06424650649987758,FALSE,FALSE,FALSE,FALSE,Addis Ababa__region 14__gulele,0.952019002,0.890855107,0.06424650649987758,ok,0
Addis Ababa,region 14,gulele,2022,8250,7513,8604,0.958856346,0.873198512,0.958856346,0.873198512,0.958856346,0.873198512,0.08933333377552682,0.08933333377552682,FALSE,FALSE,FALSE,FALSE,Addis Ababa__region 14__gulele,0.958856346,0.873198512,0.08933333377552682,ok,0
Addis Ababa,region 14,gulele,2023,8207,7508,9189,0.893133094,0.817063881,0.893133094,0.817063881,0.893133094,0.817063881,0.08517119510073816,0.08517119510073816,FALSE,FALSE,FALSE,FALSE,Addis Ababa__region 14__gulele,0.893133094,0.817063881,0.08517119510073816,ok,0
Addis Ababa,region 14,gulele,2024,7748,8811,9378,0.826188953,0.939539347,0.826188953,0.939539347,0.826188953,0.939539347,-0.13719669524557299,-0.13719669524557299,FALSE,FALSE,TRUE,FALSE,Addis Ababa__region 14__gulele,0.826188953,0.826188953,0,mcv2_above_mcv1_adjusted,1
Addis Ababa,region 14,kirkos,2020,6425,5633,6807,0.943881299,0.827530483,0.943881299,0.827530483,0.943881299,0.827530483,0.12326848314853622,0.12326848314853622,FALSE,FALSE,FALSE,FALSE,Addis Ababa__region 14__kirkos,0.943881299,0.827530483,0.12326848314853622,ok,0
Addis Ababa,region 14,kirkos,2021,6398,6172,6959,0.919384969,0.886909039,0.919384969,0.886909039,0.919384969,0.886909039,0.03532353812062381,0.03532353812062381,FALSE,FALSE,FALSE,FALSE,Addis Ababa__region 14__kirkos,0.919384969,0.886909039,0.03532353812062381,ok,0
Addis Ababa,region 14,kirkos,2022,6413,5565,7111,0.901842216,0.782590353,0.901842216,0.782590353,0.901842216,0.782590353,0.1322314046562664,0.1322314046562664,FALSE,FALSE,FALSE,FALSE,Addis Ababa__region 14__kirkos,0.901842216,0.782590353,0.1322314046562664,ok,0
Addis Ababa,region 14,kirkos,2023,4770.059171,6861,6959,0.685451814,0.985917517,0.685451814,0.985917517,0.685451814,0.985917517,-0.43834693681327097,-0.43834693681327097,FALSE,FALSE,TRUE,FALSE,Addis Ababa__region 14__kirkos,0.685451814,0.685451814,0,mcv2_above_mcv1_adjusted,1
Addis Ababa,region 14,kirkos,2024,5976,5303,7411,0.806368911,0.715557954,0.806368911,0.715557954,0.806368911,0.715557954,0.11261713560779872,0.11261713560779872,FALSE,FALSE,FALSE,FALSE,Addis Ababa__region 14__kirkos,0.806368911,0.715557954,0.11261713560779872,ok,0
Addis Ababa,region 14,lideta,2020,7347,5401,7468,0.983797536,0.723219068,0.983797536,0.723219068,0.983797536,0.723219068,0.2648700148807853,0.2648700148807853,FALSE,FALSE,FALSE,FALSE,Addis Ababa__region 14__lideta,0.983797536,0.723219068,0.2648700148807853,ok,0
Addis Ababa,region 14,lideta,2021,4712.725771,4347.679234,7295,0.646021353,0.595980704,0.646021353,0.595980704,0.646021353,0.595980704,0.07745974458525358,0.07745974458525358,FALSE,FALSE,FALSE,FALSE,Addis Ababa__region 14__lideta,0.646021353,0.595980704,0.07745974458525358,ok,0
Addis Ababa,region 14,lideta,2022,4714.725453,7405,7295,0.64629547,1.015078821,0.64629547,1.015078821,0.64629547,1,-0.570611072053468,-0.5472799151756395,FALSE,TRUE,TRUE,FALSE,Addis Ababa__region 14__lideta,0.64629547,0.64629547,0,coverage_above_100_adjusted,2
Addis Ababa,region 14,lideta,2023,4590.365538,4359.889335,7641,0.600754553,0.570591459,0.600754553,0.570591459,0.600754553,0.570591459,0.05020868148127053,0.05020868148127053,FALSE,FALSE,FALSE,FALSE,Addis Ababa__region 14__lideta,0.600754553,0.570591459,0.05020868148127053,ok,0
Addis Ababa,region 14,lideta,2024,4425,3801,8351,0.529876661,0.455155071,0.529876661,0.455155071,0.529876661,0.455155071,0.14101694884802626,0.14101694884802626,FALSE,FALSE,FALSE,FALSE,Addis Ababa__region 14__lideta,0.529876661,0.455155071,0.14101694884802626,ok,0
Addis Ababa,region 14,yeka,2020,8872,7715,10651,0.83297343,0.724345132,0.83297343,0.724345132,0.83297343,0.724345132,0.13041027971324376,0.13041027971324376,FALSE,FALSE,FALSE,FALSE,Addis Ababa__region 14__yeka,0.83297343,0.724345132,0.13041027971324376,ok,0
Addis Ababa,region 14,yeka,2021,6174.502924,8064,10412,0.593017953,0.77449097200000006,0.593017953,0.77449097200000006,0.593017953,0.77449097200000006,-0.3060160625524941,-0.3060160625524941,FALSE,FALSE,TRUE,FALSE,Addis Ababa__region 14__yeka,0.593017953,0.593017953,0,mcv2_above_mcv1_adjusted,1
Addis Ababa,region 14,yeka,2022,6061.69326,5824.713613,10651,0.569119638,0.546870117,0.569119638,0.546870117,0.569119638,0.546870117,0.03909462881686749,0.03909462881686749,FALSE,FALSE,FALSE,FALSE,Addis Ababa__region 14__yeka,0.569119638,0.546870117,0.03909462881686749,ok,0
Addis Ababa,region 14,yeka,2023,5517.316254,5314.076374,10651,0.518009225,0.49892746,0.518009225,0.49892746,0.518009225,0.49892746,0.036836728149001643,0.036836728149001643,FALSE,FALSE,FALSE,FALSE,Addis Ababa__region 14__yeka,0.518009225,0.49892746,0.036836728149001643,ok,0
Addis Ababa,region 14,yeka,2024,5524.632192,5306.815429,10651,0.518696103,0.498245745,0.518696103,0.498245745,0.518696103,0.498245745,0.03942647319253139,0.03942647319253139,FALSE,FALSE,FALSE,FALSE,Addis Ababa__region 14__yeka,0.518696103,0.498245745,0.03942647319253139,ok,0
Afar,awsi /zone 1,adar,2020,1231,769,1814,0.678610805,0.423925028,0.678610805,0.423925028,0.678610805,0.423925028,0.37530462987544094,0.37530462987544094,FALSE,FALSE,FALSE,FALSE,Afar__awsi /zone 1__adar,0.678610805,0.423925028,0.37530462987544094,ok,0
Afar,awsi /zone 1,adar,2021,473,319,1854,0.255124056,0.17206041,0.255124056,0.17206041,0.255124056,0.17206041,0.3255813948019076,0.3255813948019076,FALSE,FALSE,FALSE,FALSE,Afar__awsi /zone 1__adar,0.255124056,0.17206041,0.3255813948019076,ok,0
Afar,awsi /zone 1,adar,2022,1227,1021,1893,0.648177496,0.53935552,0.648177496,0.53935552,0.648177496,0.53935552,0.16788916102696658,0.16788916102696658,FALSE,FALSE,FALSE,FALSE,Afar__awsi /zone 1__adar,0.648177496,0.53935552,0.16788916102696658,ok,0
Afar,awsi /zone 1,adar,2023,1066,648,1935,0.550904393,0.334883721,0.550904393,0.334883721,0.550904393,0.334883721,0.39212007517972364,0.39212007517972364,FALSE,FALSE,FALSE,FALSE,Afar__awsi /zone 1__adar,0.550904393,0.334883721,0.39212007517972364,ok,0
Afar,awsi /zone 1,adar,2024,1507,1435,1971,0.764586504,0.728056824,0.764586504,0.728056824,0.764586504,0.728056824,0.04777704001952917,0.04777704001952917,FALSE,FALSE,FALSE,FALSE,Afar__awsi /zone 1__adar,0.764586504,0.728056824,0.04777704001952917,ok,0
